Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) HIT_K2,Coverage (%) HIT_K4,Coverage (%) HIT_K6,Coverage (%) HCA_K2,Coverage (%) HCA_K4,Coverage (%) HCA_K6,Area HIT_K2,Area HIT_K4,Area HIT_K6,Area HCA_K2,Area HCA_K4,Area HCA_K6,#Peptides,#Unique,#Spec HIT_K2,#Spec HIT_K4,#Spec HIT_K6,#Spec HCA_K2,#Spec HCA_K4,#Spec HCA_K6,PTM,Avg. Mass,Description
2,168,Q09666|AHNK_HUMAN,628.92,58,50,53,53,54,52,51,2.2242E6,2.4442E6,2.3248E6,3.2479E6,2.5408E6,2.3083E6,297,297,1176,1221,1217,1413,1241,1162,Carbamidomethylation; Oxidation (M); Deamidation (NQ),629114,Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2
5,90,O75369|FLNB_HUMAN,608.56,74,68,66,68,64,66,63,2.4762E6,2.6443E6,2.8815E6,2.2932E6,2.2431E6,2.2786E6,156,145,908,923,1000,815,832,877,Carbamidomethylation; Oxidation (M); Deamidation (NQ),278162,Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2
9,104,Q15149|PLEC_HUMAN,591.24,56,41,45,49,41,46,48,5.7451E5,7.8244E5,1.0252E6,6.0031E5,7.6373E5,7.5983E5,235,230,514,617,733,527,626,618,Carbamidomethylation; Deamidation (NQ),531796,Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3
7,85,P21333|FLNA_HUMAN,588.01,69,63,64,64,60,60,63,2.188E6,2.3643E6,2.5956E6,1.8301E6,1.858E6,1.8678E6,137,127,866,873,922,735,728,801,Carbamidomethylation; Oxidation (M); Deamidation (NQ),280737,Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4
23,220,P04275|VWF_HUMAN,586.35,52,44,47,51,28,29,28,1.2855E6,1.517E6,1.8067E6,2.8489E5,3.3606E5,2.9721E5,109,109,510,638,734,218,247,232,Carbamidomethylation; Deamidation (NQ),309262,von Willebrand factor OS=Homo sapiens OX=9606 GN=VWF PE=1 SV=4
6,353,P04406|G3P_HUMAN,571.04,93,90,91,88,90,89,90,5.6993E6,5.7513E6,5.1644E6,6.315E6,6.3283E6,6.2656E6,36,36,879,840,749,922,946,1015,Carbamidomethylation; Oxidation (M); Deamidation (NQ),36053,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3
30,225,P98160|PGBM_HUMAN,567.35,48,32,40,39,41,42,38,2.7343E5,4.1928E5,4.2983E5,5.5613E5,6.3354E5,5.8261E5,126,126,291,385,419,419,486,458,Carbamidomethylation; Deamidation (NQ),468835,Basement membrane-specific heparan sulfate proteoglycan core protein OS=Homo sapiens OX=9606 GN=HSPG2 PE=1 SV=4
14,142,Q14204|DYHC1_HUMAN,561.56,54,38,42,49,29,40,40,3.5197E5,5.1237E5,7.1775E5,3.0812E5,4.4054E5,4.4301E5,189,189,429,550,632,358,543,500,Carbamidomethylation; Deamidation (NQ),532412,Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5
18,103,Q9Y490|TLN1_HUMAN,552.17,63,55,59,56,58,57,59,6.248E5,8.2584E5,8.9324E5,7.3328E5,9.0784E5,8.8442E5,117,117,434,497,513,473,477,472,Carbamidomethylation; Oxidation (M); Deamidation (NQ),269765,Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3
21,78,P35579|MYH9_HUMAN,547.12,60,56,56,56,55,53,52,7.4903E5,7.4344E5,7.1659E5,6.6831E5,6.2493E5,6.0922E5,132,115,464,446,488,432,407,409,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),226530,Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4
44,105,Q01082|SPTB2_HUMAN,539.38,59,49,53,54,41,46,44,4.1523E5,5.003E5,6.0178E5,2.3854E5,2.5626E5,2.5913E5,115,112,361,390,428,274,331,296,Carbamidomethylation; Deamidation (NQ),274608,Spectrin beta chain  non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2
1,4,P08670|VIME_HUMAN,536.82,94,92,90,90,92,91,93,1.3034E7,1.37E7,1.2995E7,1.4267E7,1.2264E7,1.2517E7,73,71,1894,1779,1590,1752,1731,1635,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),53652,Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4
33,65,Q00610|CLH1_HUMAN,534.71,71,59,60,64,52,60,63,5.9818E5,7.7184E5,9.6508E5,5.6926E5,7.4227E5,8.2687E5,96,96,402,383,483,318,368,405,Carbamidomethylation; Deamidation (NQ),191613,Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5
40,77,Q13813|SPTN1_HUMAN,526.54,58,54,48,48,45,43,42,5.6022E5,5.4125E5,5.7682E5,4.0869E5,4.3781E5,3.8254E5,128,128,429,387,440,315,338,300,Carbamidomethylation; Deamidation (NQ),284538,Spectrin alpha chain  non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3
58,259,P78527|PRKDC_HUMAN,523.52,36,23,29,33,19,25,27,1.4588E5,2.4337E5,3.414E5,1.0726E5,1.8174E5,1.8552E5,114,114,259,327,385,175,248,268,Carbamidomethylation; Deamidation (NQ),469093,DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3
19,31,O43707|ACTN4_HUMAN,521.15,79,73,77,77,78,79,74,6.7809E5,7.5894E5,7.5962E5,6.3276E5,6.5052E5,6.2761E5,70,43,470,516,515,408,486,433,Carbamidomethylation; Oxidation (M); Deamidation (NQ),104854,Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2
16,42,P55072|TERA_HUMAN,517.51,80,72,78,75,73,76,74,1.1581E6,1.2311E6,1.0957E6,1.6522E6,1.5321E6,1.456E6,65,65,439,441,444,539,497,544,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),89322,Transitional endoplasmic reticulum ATPase OS=Homo sapiens OX=9606 GN=VCP PE=1 SV=4
20,29,P12814|ACTN1_HUMAN,516.76,82,75,78,81,75,82,81,6.6743E5,7.2872E5,8.0848E5,5.2461E5,6.3347E5,5.7392E5,77,50,444,460,537,397,441,406,Carbamidomethylation; Oxidation (M); Deamidation (NQ),103058,Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2
39,209,Q14315|FLNC_HUMAN,512.94,51,45,38,42,41,43,43,4.5106E5,4.0876E5,4.7893E5,5.2794E5,5.3177E5,5.6475E5,105,93,337,350,382,372,372,399,Carbamidomethylation; Deamidation (NQ),291020,Filamin-C OS=Homo sapiens OX=9606 GN=FLNC PE=1 SV=3
42,41,P29401|TKT_HUMAN,503.00,80,77,76,76,80,79,78,1.6559E6,1.5404E6,1.3983E6,1.8474E6,1.7534E6,1.7492E6,42,42,372,333,342,363,374,401,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),67878,Transketolase OS=Homo sapiens OX=9606 GN=TKT PE=1 SV=3
